Index	short	Bits	indexCol
001	md2sum	128	1
002	md4sum	128	2
003	Havalsum	0	3
004	md5sum	128	4
005	ripemdsum	0	5
006	sha0sum	0	6
007	Gostrsum	0	7
008	sha1sum	160	8
009	tigersum	0	9
00A	Ripemd-128sum	128	10
00B	Ripemd-160sum	160	11
00C	Ripemd-256sum	256	12
00D	Ripemd-320sum	320	13
00E	sha256sum	256	14
00F	sha2sum	256	15
010	sha384sum	384	16
011	sha512sum	512	17
012	sha224sum	224	18
013	whirlpool	512	19
014	bsum	0	20
015	md6sum	0	21
016	sha3-224sum	224	22
017	sha3-256sum	256	23
018	sha3-384sum	384	24
019	sha3sum	224	25
01A	Shake128sum	256	26
01B	Shake256sum	256	27
01C	b2sum	512	28
01D	Streebogsum	0	29
01E	KangarooTwelvesum	0	30
01F	b3sum	256	31
020	Blake3sum	256	32
